model_id,model_revision,workload,concurrency,tp,repetitions,maximum_vram_mib_mean,maximum_system_ram_bytes_mean,gpu_utilization_percent_mean,mean_power_w,maximum_temperature_c_mean,request_failures_mean,oom_repetitions,resource_boundary_repetitions
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,64,2,5,13739.0,7627137024.0,23.470913537728325,31.06226869875257,78.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,1,1,5,12943.0,6078241996.8,70.15882381952494,51.36010235347322,80.6,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,1,2,5,13071.0,8207561523.2,51.27611501986994,49.4225200000195,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,4,1,5,13001.0,5729538867.2,54.349551829493805,44.45825824573967,81.6,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,4,2,5,13071.0,8249919897.6,37.28924524040468,40.09545543532586,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,8,1,5,13053.0,5694237081.6,50.92993244168146,42.61537481755408,81.4,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,8,2,5,13107.0,8245936947.2,33.40160062686683,37.39861849487518,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,16,1,5,13053.0,5548744704.0,58.319390036716186,46.13386122399258,81.2,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,16,2,5,13107.0,8266334208.0,38.228474019228464,39.92067970969093,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,32,1,5,13053.0,5659925708.8,69.33877066079124,51.21047752463785,81.4,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,32,2,5,13107.8,8313231769.6,47.52083406346966,42.099334127908115,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,64,1,5,13053.0,5668337254.4,78.29286402150066,54.83963206807512,82.0,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,balanced,64,2,5,13107.0,8260170547.2,58.55536312706799,47.1439763601788,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,1,1,5,13051.0,5972812595.2,65.23475124760537,48.79724368766755,81.0,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,1,2,5,13107.0,8181560115.2,47.76991985784045,46.50232849622042,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,4,1,5,13053.0,5545146777.6,60.25307052050687,47.04136613847769,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,4,2,5,13107.0,8212423475.2,38.695794960112515,39.19680214701968,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,8,1,5,13053.0,5519787622.4,63.053733897448275,47.95054466922175,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,8,2,5,13107.0,8239281766.4,40.806641893491644,39.226982649319226,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,16,1,5,13055.0,5470467686.4,75.01924517972802,53.19919162768298,82.2,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,16,2,5,13109.0,8239399731.2,54.01340501713205,44.12642848743614,81.4,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,32,1,5,13055.0,5542593331.2,85.96466445885929,58.47450408197993,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,32,2,5,13107.0,8211034112.0,69.11604973445434,51.29857150625766,81.8,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,64,1,5,13055.0,5607986790.4,92.36409916597776,61.288030643212686,82.0,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,prefill_heavy,64,2,5,13109.0,8181174272.0,80.77442120855306,57.46138889864991,82.2,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,short,1,1,5,12945.0,6134747136.0,37.30375656047345,36.576527099384975,76.6,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,short,1,2,5,13073.0,8140188876.8,30.906635128650002,36.826831118998726,81.4,0.0,0,0
mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,short,4,1,5,12947.0,5549513113.6,22.76773201688604,29.536265052347932,75.4,0.0,0,0
